,name,ath_rank,cur_rank,rank_changes
0,Ethereum,1.0,1.0,0.0
1,BSC,2.0,2.0,0.0
2,Arbitrum,6.0,3.0,3.0
3,Polygon,4.0,4.0,0.0
4,Optimism,13.0,5.0,8.0
5,Avalanche,3.0,6.0,-3.0
6,Cronos,27.0,7.0,20.0
7,Fantom,5.0,8.0,-3.0
8,Fusion,16.0,9.0,7.0
9,zkSync Era,27.0,10.0,17.0
10,Klaytn,10.0,11.0,-1.0
11,Rootstock,14.0,12.0,2.0
12,Celo,8.0,13.0,-5.0
13,Ronin,7.0,14.0,-7.0
14,Gnosis,17.0,15.0,2.0
15,KCC,19.0,16.0,3.0
16,Moonbeam,22.0,17.0,5.0
17,Metis,27.0,18.0,9.0
18,OKTChain,12.0,19.0,-7.0
19,Polygon zkEVM,27.0,20.0,7.0
20,Telos,20.0,21.0,-1.0
21,Heco,9.0,22.0,-13.0
22,Astar,27.0,23.0,4.0
23,Aurora,21.0,24.0,-3.0
24,IoTeX,23.0,25.0,-2.0
25,Bittorrent,27.0,26.0,1.0
26,Moonriver,11.0,27.0,-16.0
27,Wanchain,15.0,28.0,-13.0
28,Ultron,27.0,29.0,-2.0
29,Kardia,18.0,30.0,-12.0
